name,state,lat,lon,population,country
Syracuse,NY,43.0407,-76.1437,402509,US
Arlington,TX,32.6998,-97.125,397742,US
Aurora,CO,39.7083,-104.7237,394432,US
Trenton,NJ,40.2237,-74.7641,375343,US
Oxnard,CA,34.1964,-119.1815,369935,US
Huntsville,AL,34.6981,-86.6412,368074,US
Indio,CA,33.7346,-116.2346,366757,US
Scranton,PA,41.4044,-75.6649,366238,US
Victoria,BC,48.4283,-123.3647,363222,CA
Victorville,CA,34.5277,-117.3536,362549,US
Modesto,CA,37.6375,-121.0028,359115,US
Myrtle Beach,SC,33.7094,-78.8844,348669,US
Honolulu,HI,21.3294,-157.846,345482,US
Anaheim,CA,33.839,-117.8574,344521,US
Greensboro,NC,36.0956,-79.8271,342060,US
Corpus Christi,TX,27.7254,-97.3767,341912,US
Fort Wayne,IN,41.0888,-85.1436,339694,US
Markham,ON,43.8767,-79.2633,338503,CA
Fort Collins,CO,40.5477,-105.0656,336364,US
Oshawa,ON,43.9,-78.85,335949,CA
Antioch,CA,37.9787,-121.796,335183,US
Jackson,MS,32.3157,-90.2125,333212,US
Henderson,NV,36.0133,-115.0381,332141,US
Lansing,MI,42.7142,-84.5601,328527,US
Fayetteville,NC,35.085,-78.9772,325349,US
Savannah,GA,32.0286,-81.1821,324227,US
Lexington,KY,38.0423,-84.4587,323725,US
Vaughan,ON,43.8333,-79.5,323103,CA
Ann Arbor,MI,42.2759,-83.731,318688,US
Poughkeepsie,NY,41.695,-73.9211,318383,US
Mobile,AL,30.6782,-88.1162,316714,US
Youngstown,OH,41.0993,-80.6463,313898,US
Santa Ana,CA,33.7367,-117.8819,312534,US
Irvine,CA,33.6772,-117.7738,311690,US
Newark,NJ,40.7245,-74.1725,310178,US
St. Paul,MN,44.9478,-93.1039,307284,US
Windsor,ON,42.2833,-83.0,306519,CA
Winter Haven,FL,28.0118,-81.7014,300369,US
Springfield,MO,37.1943,-93.2916,300073,US
Concord,NC,35.3933,-80.6369,299345,US
Lincoln,NE,40.8099,-96.6784,298056,US
Flint,MI,43.0236,-83.6921,295285,US
Asheville,NC,35.5707,-82.5537,295184,US
Jersey City,NJ,40.7184,-74.0686,294078,US
Santa Rosa,CA,38.4458,-122.7067,292251,US
Gatineau,QC,45.4833,-75.65,291041,CA
Plano,TX,33.0502,-96.7486,290594,US
Lakeland,FL,28.0557,-81.9545,290540,US
Anchorage,AK,61.1508,-149.1091,288976,US
Canton,OH,40.8078,-81.3676,287351,US
Wilmington,NC,34.2099,-77.8866,285611,US
Lubbock,TX,33.5657,-101.8879,283565,US
Reading,PA,40.34,-75.9267,283546,US
Davenport,IA,41.5565,-90.6053,281044,US
Gilbert,AZ,33.31,-111.7463,280262,US
Chandler,AZ,33.2825,-111.8514,280136,US
South Bend,IN,41.6767,-86.2696,279977,US
North Las Vegas,NV,36.2883,-115.0888,278595,US
Chula Vista,CA,32.6281,-117.0144,276375,US
Shreveport,LA,32.4653,-93.7955,276074,US
Eugene,OR,44.0564,-123.1174,272404,US
Rockford,IL,42.2596,-89.064,271411,US
Santa Clarita,CA,34.4175,-118.4964,270147,US
Salem,OR,44.9233,-123.0244,268719,US
Saskatoon,SK,52.1333,-106.6833,266141,CA
Round Lake Beach,IL,42.3791,-88.0811,264501,US
Killeen,TX,31.0753,-97.7297,264379,US
St. Petersburg,FL,27.7931,-82.6652,262732,US
Tallahassee,FL,30.4551,-84.2527,260687,US
Kennewick,WA,46.1978,-119.1732,259487,US
Laredo,TX,27.5625,-99.4874,257619,US
Columbus,GA,32.51,-84.8771,256672,US
Irving,TX,32.8583,-96.9702,256492,US
Peoria,IL,40.752,-89.6154,255063,US
Montgomery,AL,32.3482,-86.2668,254752,US
Longueuil,QC,45.5333,-73.5167,254483,CA
Glendale,AZ,33.5791,-112.2311,252833,US
Chesapeake,VA,36.6778,-76.3023,252583,US
Burnaby,BC,49.2667,-122.9667,249125,CA
Garland,TX,32.91,-96.6304,246844,US
Gulfport,MS,30.4274,-89.0704,244766,US
York,PA,39.9651,-76.7315,244270,US
Scottsdale,AZ,33.6872,-111.8651,243821,US
St. Catharines,ON,43.1833,-79.2333,242460,CA
Lafayette,LA,30.2082,-92.0325,242063,US
Nashua,NH,42.7491,-71.491,240705,US
Enterprise,NV,36.0091,-115.2278,240464,US
Rock Hill,SC,34.9415,-81.0241,240159,US
Arlington,VA,38.8786,-77.1011,236254,US
Norfolk,VA,36.8945,-76.259,233596,US
Fargo,ND,46.8651,-96.8292,231541,US
Appleton,WI,44.278,-88.3892,230473,US
Fremont,CA,37.5265,-121.9843,228295,US
Clarksville,TN,36.5692,-87.3413,227059,US
Regina,SK,50.4547,-104.6067,226404,CA
Hialeah,FL,25.8696,-80.3045,226165,US
Aguadilla,PR,18.4382,-67.1537,225238,US
Bremerton,WA,47.5436,-122.7121,224760,US
Deltona,FL,28.905,-81.2137,223506,US
Brownsville,TX,25.9975,-97.458,223205,US
Tacoma,WA,47.2431,-122.4531,222758,US
San Bernardino,CA,34.1416,-117.2943,222724,US
Green Bay,WI,44.5148,-87.9895,222170,US
College Station,TX,30.5852,-96.2959,219936,US
Frisco,TX,33.156,-96.8216,219304,US
Spring Valley,NV,36.0952,-115.2636,219187,US
Spartanburg,SC,34.9442,-81.9251,218799,US
Roanoke,VA,37.2785,-79.9581,218060,US
Olympia,WA,47.0417,-122.8959,217647,US
Gainesville,FL,29.6804,-82.3459,216479,US
Kalamazoo,MI,42.2749,-85.5882,215288,US
Fontana,CA,34.0968,-117.4599,214169,US
Oakville,ON,43.45,-79.6833,213759,CA
Hickory,NC,35.741,-81.3223,213375,US
Moreno Valley,CA,33.9244,-117.2045,211666,US
Portland,ME,43.6773,-70.2715,210907,US
McKinney,TX,33.2016,-96.667,210600,US
Yonkers,NY,40.9466,-73.8673,209978,US
Richmond,BC,49.1667,-123.1333,209937,CA
Ocala,FL,29.178,-82.1511,208245,US
Sioux Falls,SD,43.5396,-96.7311,207648,US
Thousand Oaks,CA,34.1914,-118.8756,207637,US
Amarillo,TX,35.1984,-101.8316,205856,US
Hagerstown,MD,39.6401,-77.7217,204653,US
Evansville,IN,37.9881,-87.5341,204607,US
Waterbury,CT,41.5582,-73.0361,202514,US
Santa Barbara,CA,34.4285,-119.7202,202039,US
Richmond Hill,ON,43.8667,-79.4333,202022,CA
Lorain,OH,41.4409,-82.184,201994,US
Nampa,ID,43.5844,-116.5638,201956,US
Grand Prairie,TX,32.6871,-97.0208,201883,US
Overland Park,KS,38.887,-94.687,200306,US
Sunrise Manor,NV,36.1783,-115.0487,200218,US
Galveston,TX,29.2484,-94.8913,199112,US
Peoria,AZ,33.7843,-112.2989,196906,US
Cedar Rapids,IA,41.9662,-91.6783,195323,US
Vancouver,WA,45.6366,-122.5967,195300,US
Huntington Beach,CA,33.696,-118.0018,195240,US
Frederick,MD,39.4337,-77.4141,195161,US
Murfreesboro,TN,35.849,-86.4121,194551,US
Waco,TX,31.5599,-97.1882,193768,US
Huntington,WV,38.4109,-82.4345,192569,US
Glendale,CA,34.1819,-118.2468,190748,US
Mauldin,SC,34.7821,-82.3032,189546,US
Tempe,AZ,33.3881,-111.9319,188065,US
Fredericksburg,VA,38.2992,-77.4872,187349,US
Burlington,ON,43.3167,-79.8,186948,CA
Paradise,NV,36.0872,-115.1355,185913,US
Fort Lauderdale,FL,26.1412,-80.1464,185604,US
St. John's,NL,47.4817,-52.7971,185565,CA
Hemet,CA,33.7341,-116.9969,185006,US
Erie,PA,42.1167,-80.0733,184712,US
Gainesville,GA,34.2902,-83.8294,184237,US
Newport News,VA,37.1051,-76.5185,184216,US
Kelowna,BC,49.8881,-119.4956,181380,CA
Gastonia,NC,35.2494,-81.1854,181152,US
Spring Hill,FL,28.4798,-82.53,181097,US
Ontario,CA,34.0393,-117.6064,180547,US
